platform,komentar,timestamp,sentimen,cleaned_comment
YouTube,Seneng bgt ngikut kontenya,2026-04-08T00:15:21Z,Netral,neng bgt ngikut konte
YouTube,Mending pake it el😂😂😂😂😂,2026-04-06T13:38:15Z,Netral,mending pake it el
YouTube,"Gw juga pernah ketipu di toko Oren beli hp bermerek dateng2 isinya HDC os nougat yng udh jadul, pas di cas sebentar udh panas bjir😂, untung bikin video unboxing jdi bisa diretur klo ga melayang itu duit.

Klo yang mau beli tpi duit pas2an mending beli hp pas cuci gudang biasanya akhir bulan atau akhir tahun atau bisa juga beli second di olshop ijo tapi catatan harus yang ada boxnya dan g boleh batangan soalnya pernah pesen batangan yang dateng tipe dan merek sama, cuma ram sama penyimpanannya beda jauh dan itu fatal bngt, Alhamdulillah bisa retur juga cuma rada lama karena ketat di ijo mah. Intinya mah si bikin video unboxing biar kita g rugi2 amat klo yang dateng palsu.",2026-04-05T22:21:17Z,Negatif,gw pernah tipu toko oren beli hp merek dateng isi hdc os nougat yng udh jadul pas cas sebentar udh panas bjir untung bikin video unboxing jdi retur klo ga layang duit klo mau beli tpi duit pas mending beli hp pas cuci gudang biasa akhir bulan akhir tahun beli second olshop ijo catat boxnya g batang soal pernah sen batang dateng tipe merek sama cuma ram sama simpan beda jauh itu fatal bngt alhamdulillah bisa retur cuma rada lama ketat ijo mah inti mah si bikin video unboxing biar g rugi klo yang dateng palsu
YouTube,"Apakah yg live jualan di kranjang kuning juga bnyak bang hp kw..soalnya murah"" ..juga ..di bawah 1 jt jga ada ....😅😅😅",2026-04-05T07:33:18Z,Positif,yg live jual kranjang kuning bnyak bang hp kwsoalnya murah di bawah jt jga
YouTube,Semoga masyarakat awam makin sadar jangan tergiur harga murah.. lebih baik hp second ORI,2026-04-03T20:29:15Z,Positif,moga masyarakat awam makin sadar jangan giur harga murah lebih baik hp second ori
YouTube,Bener bangt biar lebih teliti,2026-04-03T01:13:32Z,Netral,bener bangt biar lebih teliti
YouTube,Makasih bang infony manfaat,2026-04-03T01:11:35Z,Netral,makasih bang infony manfaat
YouTube,Hati hati bg kalo bisa konek ke data bisa jadi redflag soalnya kalo hp kayak gitu emang dirancang buat mata2,2026-04-02T14:50:42Z,Netral,hati hati bg kalo konek data jadi redflag soal kalo hp kayak gitu emang rancang buat mata
YouTube,Joss,2026-03-29T22:48:20Z,Netral,joss
YouTube,mantap,2026-03-29T18:47:16Z,Positif,mantap
YouTube,"Gak di banting jg boskuuu ,kyk gmn gtu... Pdhl ente ngerakit jg gk bisa 😂😂",2026-03-29T16:48:16Z,Netral,gak banting jg boskuuu kyk gmn gtu pdhl ente ngerakit jg gk
YouTube,Tinggal diedit build.prop doang mau lu tulis storage 8000000000000 TB ram 99999 GB kamera 78900000 MP juga gak guna kalau hardwarenya gak segitu,2026-03-29T13:00:49Z,Netral,tinggal edit buildprop doang mau lu tulis storage tb ram gb kamera mp gak kalau hardwarenya gak segitu
YouTube,Bang saran la bang bagusan Samsung galaxy a56 apa Samsung galaxy a57 lebih worth it Yang mana secara HARGA Sama bagusan Yang mana,2026-03-29T12:02:01Z,Positif,bang saran la bang bagus samsung galaxy a apa samsung galaxy a lebih worth it mana harga sama bagus mana
YouTube,Hp edan😹😹😹,2026-03-28T14:38:14Z,Netral,hp edan
YouTube,Untung gak pernah tergiur hp kw begituan. Emang mending beli hp ori yg 1 jutaan spek minim tapi udah jelas.,2026-03-26T08:55:48Z,Netral,untung gak pernah giur hp kw begitu emang mending beli hp ori yg juta spek minim udah jelas
YouTube,sdh under estimat sii wkwkw,2026-03-25T13:10:41Z,Netral,sdh under estimat sii wkwkw
YouTube,"bang hp bekas review nya banyak,kasihlah gua 1 bang",2026-03-24T12:17:01Z,Netral,bang hp bekas review nya banyakkasihlah gua bang
YouTube,Mending beli hp samsung harga 1jt an aja udh banyak yg bagus bgt,2026-03-23T13:47:33Z,Positif,mending beli hp samsung harga jt an aja udh banyak yg bagus bgt
YouTube,"Aku juga kena bang 2,5 🥹 pas promo big sale di Oren yang datang welcome 😅 mana gak bisa refund lagi",2026-03-12T17:23:26Z,Netral,aku kena bang pas promo big sale oren datang welcome mana gak refund
YouTube,bnyk duit buang duit,2026-03-05T15:58:00Z,Netral,bnyk duit buang duit
YouTube,Hp gaje leioa juga,2026-03-05T09:27:01Z,Netral,hp gaje leioa
YouTube,"Bang, emng bner software dari hp nubia neo 3gt 5g aneh"" ?",2026-03-01T14:35:52Z,Netral,bang emng bner software hp nubia neo gt g aneh
YouTube,"Ini yang gw suka dari bang David, review jujur gak peduli semahal apa itu merk & type nya. 

Semangat bang David untuk meng edukasi rakyat yang gampang ketipu",2026-03-01T11:21:03Z,Negatif,gw suka bang david review jujur gak peduli mahal apa merk type nya semangat bang david meng edukasi rakyat yang gampang tipu
YouTube,"Bg sering2 donk upload konten2 android abal2, biar kami konsumen TDK tertipu.. Sian masyarakat bang udh rakyat susah, kena tipu lagi.. hahaaa",2026-02-28T12:08:56Z,Netral,bg sering donk upload konten android abal biar konsumen tdk tipu sian masyarakat bang udh rakyat susah kena tipu hahaaa
YouTube,ini mah sekelas advan gak sih 😂,2026-02-25T16:38:39Z,Netral,mah kelas advan gak sih
YouTube,Review hp titan 2 dong,2026-02-25T12:51:33Z,Netral,review hp titan dong
YouTube,sakit kuping Gw Jir Denger speakernya,2026-02-25T09:37:36Z,Netral,sakit kuping gw jir denger speakernya
YouTube,"Makanya selalu jeli melihat merk mereka yang palsu² itu ga akan pernah menulis merk aslinya, misal mereka jiplak hp Xiaomi mereka bakal tulis di hp palsu mereka merk-nya xiami atau di pleset²kan",2026-02-22T01:09:39Z,Positif,makanya selalu jeli lihat merk yang palsu ga pernah tulis merk asli misal jiplak hp xiaomi bakal tulis hp palsu merknya xiami di pleset kan
YouTube,Mau murah beli HP Samsung yang satu jutaan 4/64 udh oke,2026-02-21T06:07:27Z,Positif,mau murah beli hp samsung satu juta udh oke
YouTube,Intinya jangan tergiur harga murah,2026-02-20T16:21:53Z,Positif,inti jangan giur harga murah
YouTube,pas dinyalain merek keset wkwkwk tulisan nya welcome,2026-02-17T13:41:28Z,Netral,pas dinyalain merek keset wkwkwk tulis nya welcome
YouTube,kak review camon 50 cepaaatttttttt aku pengen beli tp raguuu aku hanya percaya padamuuuuu,2026-02-16T10:50:27Z,Netral,kak review camon cepaaatttttttt aku ken beli tp raguuu aku percaya padamuuuuu
YouTube,"Di marketplace oren/ijo dll  bnyk bnget kw
Biasanya gak nyebut merek di awal nama produknya. Langsung di tulis tipe seperti note 10 ,11 xxxxzzz.
Atau hot 10, dlll xxx
S25

Tanpa merek infinik/itel/redmi",2026-02-15T01:20:52Z,Netral,marketplace orenijo bnyk bnget kw biasa gak nyebut merek awal nama produk langsung tulis tipe note xxxxzzz atau hot dlll xxx s tanpa merek infinikitelredmi
YouTube,"Bang tolong bikinin vidio CO pruduk dr toko di  FaceBook dong,soalnya penasaran, beneran apa banyak yg nipu,",2026-02-13T17:43:58Z,Netral,bang bikinin vidio co pruduk dr toko facebook dongsoalnya penasaran beneran apa banyak yg nipu
YouTube,Asal Amerika Serikat,2026-02-10T06:27:43Z,Netral,asal amerika serikat
YouTube,Asal Amerika,2026-02-10T06:27:34Z,Netral,asal amerika
YouTube,"Bang, Infinix note 60 bantu review bang 😢",2026-02-10T05:04:10Z,Netral,bang infinix note bantu review bang
YouTube,Review note 60 bg,2026-02-10T05:03:54Z,Netral,review note bg
YouTube,katanya rifyu hp malah promosiin kopi,2026-02-09T15:37:54Z,Netral,kata rifyu hp malah promosiin kopi
YouTube,iklan kopi kapal api lewat 😅,2026-02-09T03:54:19Z,Netral,iklan kopi kapal api lewat
YouTube,"Bang boleh saya beli GK hp yg punya ABG review itu,dgn harga 500 ribuan soalnya kemahalan saya gak cukup uang buat beli,mau ganti hp yg sudah rusak,ini oun susah² mau ngetik,soalnya saya mau ganti hp buat mengisi soal² sekolah yg sekarang kebanyakan serba online,semoga pesan ini dibaca bang gatgetin,😢😢😢😢🙏🙏🙏",2026-02-05T12:30:42Z,Negatif,bang beli gk hp yg punya abg review itudgn harga ribu soal mahal gak cukup uang buat belimau ganti hp yg rusakini oun susah mau ngetiksoalnya saya mau ganti hp buat isi soal sekolah yg sekarang banyak serba onlinesemoga pesan baca bang gatgetin
YouTube,"saya agak heran sama orang yg bilang habis beli hp baru  harga di bawah standar.. jangan"" hp beginian yg di beli. 🤣🤣 dengan nada sombong harga murah.. wkwkwk... hp jaman batu di beli...!!! 😣😣",2026-02-05T01:54:16Z,Positif,agak heran sama orang yg bilang habis beli hp baru harga bawah standar jangan hp begini yg beli nada sombong harga murah wkwkwk hp jaman batu beli
YouTube,BARANG YANG SANGAT DI MAKI2 SAMA GT ID😂,2026-02-05T00:10:46Z,Netral,barang sangat maki sama gt id
YouTube,bang Ada HP yg ga kepake ga,2026-02-03T12:41:11Z,Netral,bang hp yg ga kepake ga
YouTube,Bagian Infinix smart 8 plus aj lebih bagus dari ini🗿,2026-02-03T05:09:02Z,Positif,bagi infinix smart plus aj lebih bagus ini
YouTube,maimete catokan gua jir,2026-02-02T10:56:19Z,Netral,maimete catokan gua jir
YouTube,Hp kocak bag,2026-02-01T20:11:10Z,Netral,hp kocak bag
YouTube,Batery nya cepat habis gk bg?,2026-02-01T12:56:29Z,Netral,batery nya cepat habis gk bg
YouTube,😂 sedia APAR yah bang David. Ini barang berbahaya,2026-01-30T08:13:12Z,Netral,sedia apar yah bang david barang bahaya
YouTube,11:21 jungkat jungkit 😂,2026-01-28T09:31:37Z,Netral,jungkat jungkit
YouTube,Mas jgn bilang cas yg bagus itu berat... Banya cas yg berat isinyah besi 🗿,2026-01-27T02:45:25Z,Positif,mas jgn bilang cas yg bagus berat banya cas yg berat isinyah besi
YouTube,hp ne mcm versi nokia dulu2...thun 2005 ++ sblum zaman samsung full touch screen. betry blh dpsahkan dr bdan  n charge manual.,2026-01-26T18:07:00Z,Netral,hp ne mcm versi nokia duluthun sblum zaman samsung full touch screen betry blh dpsahkan dr bdan n charge manual
YouTube,18:39 ada ml nya,2026-01-25T01:34:31Z,Netral,ml nya
YouTube,Jir gw nonton 2026,2026-01-23T03:24:43Z,Netral,jir gw nonton
YouTube,hp alien 🤣🤣,2026-01-21T02:45:53Z,Netral,hp alien
YouTube,SUARA NYUPUT KOPI KAYAK LAGI KENTUT BANG,2026-01-20T07:21:56Z,Netral,suara nyuput kopi kayak kentut bang
YouTube,Sangat2 merendahkan.... apakah anda bisa menciptakan nya...??,2026-01-18T16:15:48Z,Netral,sangat rendah anda cipta nya
YouTube,TES PAKAI AIDA 64.BIAR SPEKNYA JELAS. BANG DAVID,2026-01-18T15:08:55Z,Netral,tes pakai aida biar speknya jelas bang david
YouTube,Baru nonton 2026 gw jir,2026-01-17T11:13:25Z,Netral,baru nonton gw jir
YouTube,aku mau beli hp yang bener bener aku pengen kek POCO F7 langsung ku beli di shopee toko poco official langsung walaupun mahal tapi udah pasti aman,2026-01-16T12:17:20Z,Negatif,aku mau beli hp bener bener aku ken kek poco f langsung ku beli shopee toko poco official langsung walaupun mahal udah aman
YouTube,Hhh.pngen tahu rasa nya susah !.hhhhhh,2026-01-16T04:55:19Z,Netral,hhhpngen tahu rasa nya susah hhhhhh
YouTube,"Hp tak ada brand itu bukan tiruan xiomi.
Tiruan pasti mengunakan brand yg ditiru.
Ram dan rom tidak benar, itu cuma editan.",2026-01-15T09:41:53Z,Netral,hp tak brand bukan tiru xiomi tiru mengunakan brand yg tiru ram rom benar cuma edit
YouTube,Hp welcome 😂,2026-01-15T03:35:48Z,Netral,hp welcome
YouTube,Bang apakah hp realme 5 lebih bagus dari pada hp itu?,2026-01-14T12:08:17Z,Positif,bang hp realme lebih bagus pada hp
YouTube,Masih aja percaya jual hp di live tikotok wkwkwk,2026-01-12T15:41:50Z,Netral,aja percaya jual hp live tikotok wkwkwk
YouTube,Ko david... minta dong  link nya... beli di mana ya....??,2026-01-12T15:39:28Z,Netral,ko david minta dong link nya beli mana
YouTube,"hdc aja masih ada harga diri,ini gak ada samsek",2026-01-12T13:47:36Z,Netral,hdc aja harga diriini gak ada samsek
YouTube,Untuk aku aja bg,2026-01-11T11:00:57Z,Netral,aku aja bg
YouTube,"bang david , dari pada hp-nya nganggur mending buat anakku aja sinih.... lumayan buat SEKOLAH..",2026-01-11T08:15:26Z,Netral,bang david pada hpnya nganggur mending buat anak aja sih lumayan buat sekolah
YouTube,Bang sya mau tanya kalau hp ifinix hot 60 pro bagus enggak bang?,2026-01-09T16:43:54Z,Positif,bang sya mau tanya kalau hp ifinix hot pro bagus enggak bang
YouTube,Unboxing P70 itel donk bos david,2026-01-09T12:41:30Z,Netral,unboxing p itel donk bos david
YouTube,hati hati saudara jgn ketipu dngn hp yg meniru hp aslinya karna kami sudah cek dari mesin nya hp murah harga 1jutaan tdk benar,2026-01-09T10:10:55Z,Positif,hati hati saudara jgn tipu dngn hp yg tiru hp asli karna sudah cek mesin nya hp murah harga juta tdk benar
YouTube,Raya nyepi untuk kondisinya sekarang ini adalah daftar,2026-01-09T09:09:24Z,Netral,raya nyepi kondisi sekarang adalah daftar
YouTube,Film tersebut dibintangi oleh seorang,2026-01-09T09:09:12Z,Netral,film sebut bintang orang
YouTube,Ga❤💞 ada yg bisa menampilkan status atau kayu yang telah berpartisipasi🤗 seputar produk dana desa rp,2026-01-09T09:08:46Z,Netral,ga yg tampil status kayu telah partisipasi putar produk dana desa rp
YouTube,Raya nyepi untuk kondisinya sekarang❤💞❤💞 ini adalah daftar asal Amerika Serikat yang memenangkan penghargaan dari,2026-01-09T09:06:57Z,Netral,raya nyepi kondisi sekarang adalah daftar asal amerika serikat menang harga
YouTube,Ga❤💞❤💞❤💞,2026-01-09T09:05:56Z,Netral,ga
YouTube,Gtu deh kalo ada❤💞❤💞❤💞,2026-01-09T09:04:50Z,Netral,gtu deh kalo ada
YouTube,yee,2026-01-09T07:45:06Z,Netral,yee
YouTube,Bg tanya stiap HP yg habis di review itu di kmanain bg . Apakah di kembalikan ke toko nya atau di simpan di rumah? Atau di jual bg?,2026-01-09T00:08:03Z,Netral,bg tanya stiap hp yg habis review kmanain bg di kembali toko nya di simpan di rumah di jual bg
YouTube,basic sistem nya pake android jaman dulu nih kayanya yang lollipop😂,2026-01-07T15:54:32Z,Netral,basic sistem nya pake android jaman dulu nih kaya lollipop
YouTube,"Cuma ngasih tau, KALAU ADA HP TULISAN AWALNYA WELCOME.... UDAH BUANG AJA",2026-01-06T08:01:56Z,Netral,cuma ngasih tau kalau hp tulis awal welcome udah buang aja
YouTube,Pas batrenya jtuh😂😂😂,2026-01-03T15:41:18Z,Netral,pas batrenya jtuh
YouTube,kirain mau bongkar hp nya liat komponenya gitu beneran kagak,2026-01-03T06:46:51Z,Netral,kirain mau bongkar hp nya liat komponenya gitu beneran kagak
YouTube,saya ketawa liat video ini lucu dan bagus cara ngomongnya😅,2026-01-02T11:43:27Z,Positif,ketawa liat video lucu bagus cara ngomongnya
YouTube,HP NON BRAND,2026-01-02T09:51:57Z,Netral,hp non brand
YouTube,Tiktok itu sarang barang2 kw emang hati belanja di sana,2026-01-01T08:54:17Z,Netral,tiktok sarang barang kw emang hati belanja sana
YouTube,"infinix pun skrg ada KW nya bang. kemarin beli infinix diskon gede2an, ternyata barangnya fake. langsung retur ke sellernya",2025-12-31T16:31:11Z,Netral,infinix skrg kw nya bang kemarin beli infinix diskon gede nyata barang fake langsung retur sellernya
YouTube,Tolong jngn terlalu nyinyir,2025-12-30T10:15:52Z,Netral,jngn terlalu nyinyir
YouTube,ape Pusing Abang Nya 😂😂😂 Semangat Bang Demi Km km ini bang,2025-12-29T13:40:34Z,Netral,ape pusing abang nya semangat bang km km bang
YouTube,"Ini kalau  kata mobil,mobil esemka ini 😂😂😂😂",2025-12-28T08:56:13Z,Netral,kalau kata mobilmobil esemka
YouTube,Sudah kuduga welcome 😂😂😂😂😂,2025-12-24T12:24:17Z,Netral,duga welcome
YouTube,Coba bahas Tecno spark 30c,2025-12-23T13:54:56Z,Netral,coba bahas tecno spark c
YouTube,"20:59 hati-hati, gk nyaman tuh batre nyah,terlalu kelonggaran tuh ganjel nyah.",2025-12-23T12:28:02Z,Netral,hatihati gk nyaman tuh batre nyahterlalu longgar tuh ganjel nyah
YouTube,Gimmick,2025-12-23T03:52:20Z,Netral,gimmick
YouTube,Bang bang rekomendasi dong HP game yang ok,2025-12-21T05:47:41Z,Netral,bang bang rekomendasi dong hp game ok
YouTube,Bgs beli.infinix murah + bagus.,2025-12-21T00:05:53Z,Positif,bgs beliinfinix murah bagus
YouTube,21:00 NGAKAK BANGET SUMPAH,2025-12-20T13:28:25Z,Netral,ngakak banget sumpah
YouTube,Hp rakitan hp jadul dibikin casing model terbaru,2025-12-18T12:05:49Z,Netral,hp rakit hp jadul bikin casing model baru
YouTube,Hp replika,2025-12-18T12:04:24Z,Netral,hp replika
YouTube,padahal nungguin refeal spek aslinya wkwkwkwk,2025-12-17T08:55:47Z,Positif,padahal nungguin refeal spek asli wkwkwkwk
YouTube,Anjay welcom😂😂😂,2025-12-17T07:17:04Z,Netral,anjay welcom
YouTube,Bang rekomendasi dong hp murang di harga di bawa 2jt,2025-12-16T22:47:52Z,Netral,bang rekomendasi dong hp murang harga bawa jt
YouTube,Mantap bang,2025-12-15T15:45:59Z,Positif,mantap bang
YouTube,Oppo A5 5g😊😊😊,2025-12-15T11:38:34Z,Netral,oppo a g
YouTube,Adakah disini korban kyk gua?,2025-12-14T04:38:28Z,Netral,ada sini korban kyk gua
YouTube,terima kasih info jujur nya gan..... semoga sehat selalu... aamiin,2025-12-14T00:50:36Z,Netral,terima kasih info jujur nya gan moga sehat selalu aamiin
YouTube,Hp yang sering di live bbrp artis ya model gini,2025-12-13T20:47:45Z,Netral,hp sering live bbrp artis model gin
YouTube,"Bang David sampe kelihatan emosi banget ngreviewnya dipencet2 gak bisa 😅

Dan ternyata review yang ""less effort"" dan modalnya lebih sedikit ini tembus 20jt views (Desember 2025)

Semangat terusss",2025-12-13T15:01:46Z,Netral,bang david sampe lihat emosi banget ngreviewnya pencet gak dan nyata review less effort modal lebih sedikit tembus jt views desember semangat terusss
YouTube,Bahkan bran oppo juga udah ada yg kw/bajakan. Contoh yg gua alami sendiri oppo a78 5g,2025-12-13T01:08:01Z,Netral,bahkan bran oppo udah yg kwbajakan contoh yg gua alami sendiri oppo a g
YouTube,"Trauma gua sama hp hdc, waktu itu ortu gua masukin sd card di hp hdc malah semua foto/video masa kecil gua hilang 😢",2025-12-12T08:59:13Z,Netral,trauma gua sama hp hdc waktu ortu gua masukin sd card hp hdc malah semua fotovideo masa kecil gua hilang
YouTube,udah pokoknya HP yg 1 jutaan paling bagus yah infinix,2025-12-11T23:38:15Z,Positif,udah pokok hp yg juta paling bagus yah infinix
YouTube,"Yg masih setia ama iphone 14, mana suaranya😂😂😂",2025-12-11T17:08:07Z,Netral,yg setia ama iphone mana suara
YouTube,500rb juga ogah beli,2025-12-11T16:15:24Z,Netral,rb ogah beli
YouTube,"Itulah penting nya pinter dikit,biar gak mudah ketipu",2025-12-11T12:53:27Z,Netral,penting nya pinter dikitbiar gak mudah tipu
YouTube,Pasti gua yang Terakhir,2025-12-11T06:55:55Z,Netral,gua akhir
YouTube,mungkin si abg kudu keluar duit dikit buat ikut kursus teknisi ponsel biar teknisi liat abg revew gak ngetawain wkwkwkwk,2025-12-11T06:49:33Z,Netral,mungkin si abg kudu keluar duit dikit buat ikut kursus teknisi ponsel biar teknisi liat abg revew gak ngetawain wkwkwkwk
YouTube,Ngopi g sama sebat kurang afdol bang😁😁,2025-12-10T15:14:19Z,Netral,ngopi g sama sebat kurang afdol bang
YouTube,"Untuk sekedar info aja bang klo beli hp tiktok seumpama ada tlpon dari luar negeri jgn sekali di angkat,krna hp anakku dpat spam terus",2025-12-09T19:58:32Z,Netral,dar info aja bang klo beli hp tiktok umpama tlpon luar negeri jgn sekali angkatkrna hp anak dpat spam terus
YouTube,"Manteb ini HP... Calon HP ""sejuta umat""...
😅🤣😂🤣😅🤣😂🤣😅🤣😂🤣😅",2025-12-09T18:08:01Z,Netral,manteb hp calon hp juta umat
YouTube,Punya rencana mau beli hp. Yg 1.5 juta. Tapi pengen yg jernih suara telponan nya dan foto dan video gambar nya bagus serta ram nya yg besar biar bisa simpan hasil rekaman. Btw rekomendasi harus beli hp murah merk apa ya. 👍😁,2025-12-08T18:04:08Z,Positif,punya rencana mau beli hp yg juta ken yg jernih suara telpon nya foto video gambar nya bagus ram nya yg besar biar simpan hasil rekam btw rekomendasi beli hp murah merk apa
YouTube,MANTAP BANG DAVID,2025-12-08T12:59:28Z,Positif,mantap bang david
YouTube,semua ifen yang ada token wayang nya udah ku selesein tapi cuma dapet skin senjata,2025-12-06T15:12:16Z,Netral,semua ifen ada token wayang nya udah ku selesein cuma dapet skin senjata
YouTube,Coba hape tekno spark go 2 bg,2025-12-05T13:11:37Z,Netral,coba hape tekno spark go bg
YouTube,Tp  saya  konsep  ny  ma  batery  cabut  😂😂😂😂,2025-12-05T04:13:58Z,Netral,tp konsep ny ma batery cabut
YouTube,Aq pernah beli ketipu,2025-12-04T13:50:33Z,Netral,aq pernah beli tipu
YouTube,salah satu hp terkenal,2025-12-03T14:38:04Z,Netral,salah satu hp kenal
YouTube,Maimate itu juga merk mesin cuci portable tuh bang.,2025-12-03T13:47:11Z,Netral,maimate juga merk mesin cuci portable tuh bang
YouTube,"""gak berharap banyak"", tapi gw liat raut mukanya beliau sangat kecewa. Wkwkwk",2025-11-29T18:11:18Z,Negatif,gak harap banyak gw liat raut muka beliau sangat kecewa wkwkwk
YouTube,"Makasih bang gara gara lu,gw gak kegocek sama hp yang batre gede tapi chipset gak",2025-11-29T15:06:20Z,Netral,makasih bang gara gara lugw gak gocek sama hp batre gede chipset gak
YouTube,itu memory & ram bohongan...  Hasil rooting....,2025-11-29T12:29:23Z,Netral,memory ram bohong hasil rooting
YouTube,Bang David tolong Spil realme c71,2025-11-28T01:30:53Z,Netral,bang david spil realme c
YouTube,Bang David tolong Spil realme c71 bg,2025-11-28T01:30:31Z,Netral,bang david spil realme c bg
YouTube,Bang David tolong Spil realme c71,2025-11-28T01:30:12Z,Netral,bang david spil realme c
YouTube,Bercerita,2025-11-27T12:58:13Z,Netral,cerita
YouTube,Kok bisa pd beli yg kaya gitu ya? Pdhl Udh jelas penipuan,2025-11-27T08:19:08Z,Netral,kok pd beli yg kaya gitu pdhl udh jelas tipu
YouTube,"HP full skem
makasih bang David udah review",2025-11-25T21:23:43Z,Netral,hp full skem makasih bang david udah review
YouTube,sy slh satu korban yg tertipu jg....,2025-11-25T12:10:02Z,Netral,sy slh satu korban yg tipu jg
YouTube,"Breaking news

- pengunjung -",2025-11-24T06:30:52Z,Netral,breaking news unjung
YouTube,HP pak ketiplak tipu tipu,2025-11-23T11:59:10Z,Netral,hp pak ketiplak tipu tipu
YouTube,Apa gunanya 5g bagi saya kalo di manapun saya berada selalu 0 kalau gak 1 2😂,2025-11-23T11:03:59Z,Netral,apa guna g kalo mana saya ada selalu kalau gak
YouTube,3:13 kentut😭,2025-11-23T10:38:24Z,Netral,kentut
YouTube,"Gw nonton video ini pake hp 1,1 juta. Redmi 14C. Dan pake 1080 p. Serius mending beli ORI dari pada hp ga jelas seperti yg di riview ko David 😅",2025-11-22T02:14:07Z,Netral,gw nonton video pake hp juta redmi c pake p serius mending beli ori pada hp ga jelas yg riview ko david
YouTube,minta 1  boleh lahh?,2025-11-20T15:07:12Z,Netral,minta lahh
YouTube,"dulu pernah tertipu Decacore-nya Redmi Note 4 Mediatek
kenceng kaga..batre boros iya 🤣🤣",2025-11-19T06:53:09Z,Netral,dulu pernah tipu decacorenya redmi note mediatek kenceng kagabatre boros iya
YouTube,Mantap di level lowbudget,2025-11-18T13:18:49Z,Positif,mantap level lowbudget
YouTube,Harga sesuai kualitas 😅,2025-11-17T12:17:43Z,Netral,harga sesuai kualitas
YouTube,Seruput kopi atau nyedot kopi om🤔,2025-11-16T10:38:44Z,Netral,seruput kopi nyedot kopi om
YouTube,"Bang, tolong dong rekomend HP dengan RAM 12/512, NFC, BT, bisa e-SIM, Amoled, 120Hz baterai 5500mAh keatas,5G ...... yang paling murah.😃",2025-11-16T03:43:27Z,Positif,bang dong rekomend hp ram nfc bt esim amoled hz baterai mah keatasg paling murah
YouTube,Bang david coba dong review realme 15 T bang ..  spesifikasi nya ngeri banget bang dengan harga 3 Jt an,2025-11-14T17:59:00Z,Netral,bang david coba dong review realme t bang spesifikasi nya ngeri banget bang harga jt an
YouTube,keren bang videonya semangat👍👍👍,2025-11-13T09:53:47Z,Positif,keren bang video semangat
YouTube,Bang req review Hp OUKITEL C62 PRO,2025-11-11T03:04:11Z,Netral,bang req review hp oukitel c pro
YouTube,Itu mah kaya sejenis mito jaman dulu,2025-11-10T13:45:04Z,Netral,mah kaya jenis mito jaman dulu
YouTube,Itel lebih baik daripada tuh hp,2025-11-09T02:23:00Z,Netral,itel lebih baik tuh hp
YouTube,masih mending moto g45,2025-11-08T20:13:52Z,Netral,mending moto g
YouTube,Lu malah samain hp asli nya kocak lu,2025-11-08T06:47:58Z,Positif,lu malah samain hp asli nya kocak lu
YouTube,Babetke Bae hp tu vid hp penipu itu 😀🤣🤣🤣,2025-11-08T00:23:19Z,Netral,babetke bae hp tu vid hp tipu
YouTube,Om cba bikin vidio apa aja yg harus di cek kalo beli hp bekas,2025-11-05T20:12:07Z,Netral,om cba bikin vidio apa aja yg di cek kalo beli hp bekas
YouTube,"Bang tiktok LG parah hp"" begituan beri edukasi kembali🙏🙏",2025-11-02T18:47:55Z,Netral,bang tiktok lg parah hp begitu beri edukasi kembali
